Official Name of Satellite,Country/Organization of UN Registry,Longitude,Latitude,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Year
Ofeq 7,Israel,34.851612,31.046051,Ministry of Defense,Israel,Military,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,340,576,0.0173,141.76,93.75,300,170,340,5,Israel Aerospace Industries (IAI),Israel,Palmachim Launch Complex ,Shavit,2007-025A,31601,2007
Ofeq 9,Israel,34.851612,31.046051,Ministry of Defense,Israel,Military,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,343,589,0.018,141.78,93.91,300,170,340,5,Israel Aerospace Industries (IAI),Israel,Palmachim Launch Complex ,Shavit,2010-031A,36608,2010
Helios 2A,Italy,-95.712891,37.09024,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),France/Italy/Belgium/Spain/Greece,Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,681,683,0.000142,98.1,98,4200,"1,500-1,900",2900,5,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G,2004-049A,28492,2004
Sicral 1A,Italy,12.56738,41.871941,Italian Defense Ministry,Italy,Military,Communications,Earth Science,GEO,Sun-Synchronous,16.25,35769,35802,0.000391,1.01,1436.06,2596,1263,3300,10-Dec,Alenia Spazio,Italy,Guiana Space Center,Ariane 44L,2001-005A,26694,2001
Sicral 2/Syracuse 3C,Italy,12.56738,41.871941,Italian Defense Ministry/French Defense Ministry,France/Italy,Military,Communications,Earth Science,GEO,Sun-Synchronous,37,35770,35800,0.000356,0,1436,4400,543,7700,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2015-022B,40614,2015
Cosmos 2503,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,570,586,0.00115,97.7,96.1,4000,1487,6000,5,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2015-009A,40420,2015
Cosmos 2515,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,549,594,0.00324,97.62,96.1,4000,1487,6000,5,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2016-020A,41394,2016
Cosmos 2510,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military,Earth Observation,Early Warning,Elliptical,Molniya,0,1606,38662,0.699,63,715,6600,2500,16000,15,RKK Energia,Russia,Plesetsk Cosmodrome,Soyuz 2.1,2015-066A,41032,2015
Cosmos 2473,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military,Communications,Optical Imaging,GEO,Sun-Synchronous,79.9,35782,35790,9.49E-05,0.09,1436.1,5000,660,1420,2,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2011-048A,37806,2011
Cosmos 2513,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military,Communications,Optical Imaging,GEO,Sun-Synchronous,139,35783,35805,0.000261,0,1436.1,5000,660,1420,2,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2015-075A,41121,2015
Cosmos 2517,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military,Earth Science,Optical Imaging,LEO,Sun-Synchronous,0,935,963,0.00191,99.27,104.03,900,2500,14000,5,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2016-034A,41579,2016
Cosmos 2487,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Earth Observation,Radar Imaging,LEO,Polar,0,497,501,0.000291,74.73,94.6,1150,2450,1400,5,NPO Mashinostroyeniya,Russia,Baikonur Cosmodrome,Strela,2013-032A,39194,2013
Cosmos 2455,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,900,911,0.000756,67.2,103.1,5000,12,14,5,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz U,2009-063A,36095,2009
Cosmos 2502,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,901,910,0.000619,67.15,103.11,5000,12,14,5,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz 2-1b,2014-086A,40358,2014
Meridian-3,Russia,105.318756,61.52401,Military Space Forces (VKS),Russia,Military,Communications,Electronic Intelligence,Elliptical,Molniya,0,2253,38105,0.675,62.85,645.98,2500,4000,16000,5,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2010-058A,37212,2010
Meridian-4,Russia,105.318756,61.52401,Military Space Forces (VKS),Russia,Military,Communications,Electronic Intelligence,Elliptical,Molniya,0,1722,38637,0.695,64.47,717.88,2500,4000,16000,5,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2011-018A,37398,2011
Meridian-6,Russia,105.318756,61.52401,Military Space Forces (VKS),Russia,Military,Communications,Electronic Intelligence,Elliptical,Molniya,0,1494,38860,0.704,63.77,718.04,2500,4000,16000,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2012-063A,38995,2012
Meridian-7,Russia,105.318756,61.52401,Military Space Forces (VKS),Russia,Military,Communications,Electronic Intelligence,Elliptical,Molniya,0,962,39398,0.724,62.82,717.88,2500,4000,16000,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2014-069A,40296,2014
Cosmos 2407,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,949,1008,0.00401,83,104.7,825,1740,6000,02-Mar,NPO-PM,Russia ,Plesetsk Cosmodrome,Kosmos 3M,2004-028A,28380,2004
Cosmos 2414,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,907,968,0.00417,83,103.8,825,1740,6000,02-Mar,NPO-PM,Russia,Plesetsk Cosmodrome,Kosmos 3M,2005-002A,28521,2005
Cosmos 2463,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,968,1022,0.00367,83,105,820,10,6000,02-Mar,Information Satellite Systems (formerly NPO-PM),Russia,Plesetsk Cosmodrome,Kosmos 3M,2010-017A,36519,2010
Cosmos 2486,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,714,733,0.00134,98.3,99.2,7000,10,6,03-May,TsSKB Progress,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2013-028A,39177,2013
Cosmos 2450,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Amateur Radio,GEO,Non-Polar Inclined,89.84,35612,35949,0.004,1.44,1435.79,2400,150,86,5,Applied Mechanics (NPO),Russia,Baikonur Cosmodrome,Proton K,2009-010A,34264,2009
Raduga 1-M2,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Amateur Radio,GEO,Non-Polar Inclined,70,35784,35788,4.74E-05,0.01,1436.06,2500,150,86,5,Applied Mechanics (NPO),Russia,Baikonur Cosmodrome,Proton M,2010-002A,36358,2010
Raduga 1-M3,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Amateur Radio,GEO,Non-Polar Inclined,70,35777,35797,0.000237,0.1,1436.13,2400,150,86,5,OAO Resetneva,Russia,Baikonur Cosmodrome,Proton M,2013-062A,39375,2013
Cosmos 2437,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1480,1511,0.00197,82.5,115.9,280,55,300,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2008-025B,32954,2008
Cosmos 2438,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1477,1509,0.00203,82.5,115.8,280,55,300,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2008-025C,32955,2008
Cosmos 2439,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1478,1510,0.00203,82.5,115.8,280,55,300,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2008-025D,32956,2008
Cosmos 2451,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1498,1509,0.000699,82.5,116,280,55,300,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2009-036A,35498,2009
Cosmos 2453,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1495,1506,0.000699,82.5,116,280,55,300,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2009-036C,35500,2009
Cosmos 2481,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1481,1512,0.00197,82.5,115.9,280,55,300,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2012-041A,38733,2012
Cosmos 2482,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1473,1516,0.00273,82.5,115.86,250,55,300,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-001A,39057,2013
Cosmos 2483,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1473,1516,0.00273,82.5,115.86,250,150,300,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-001B,39058,2013
Cosmos 2484,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1475,1514,0.00248,82.5,115.86,250,150,300,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-001C,39059,2013
Cosmos 2488,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1478,1509,0.00197,82.5,115.9,280,150,300,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-076A,39483,2013
Cosmos 2489,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1477,1507,0.00191,82.5,115.8,280,150,300,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-076B,39484,2013
Cosmos 2490,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1482,1511,0.00184,82.5,115.8,280,150,300,5,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2013-076C,39485,2013
Cosmos 2496,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1480,1511,0.00197,82.44,115.88,280,150,300,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2014-028A,39761,2014
Cosmos 2497,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1478,1510,0.00203,82.45,115.85,280,150,300,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2014-028B,39762,2014
Cosmos 2498,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1477,1509,0.00203,82.44,115.82,280,150,300,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2014-028C,39763,2014
Cosmos 2507,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1497,1506,0.000572,82.5,116.01,280,150,300,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2015-050A,40920,2015
Cosmos 2508,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1496,1504,0.000508,82.49,115.99,280,150,300,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2015-050B,40921,2015
Cosmos 2509,Russia,105.318756,61.52401,Ministry of Defense,Russia,Military,Communications,Optical Imaging,LEO,Polar,0,1498,1508,0.000635,82.49,116.04,280,150,300,5,OAS ISS,Russia,Plesetsk Cosmodrome,Rokot,2015-050C,40922,2015
Spainsat,Spain,,,Hisdesat/Ministry of Defense,Spain,Military,Communications,Earth Science,GEO,Non-Polar Inclined,13.06,35745,35826,0.000961,0.06,1436.1,3680,1467,12300,5,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2006-007A,28946,2006
Skynet 4C,United Kingdom,,,Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,Earth Science,GEO,Molniya,-1.3,35775,35797,0.000261,13.6,1436.07,1474,850,1200,7,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44LP,1990-079A,20776,1990
Skynet 4E,United Kingdom,,,Ministry of Defence,United Kingdom,Military,Communications,Earth Science,GEO,Molniya,35.58,35774,35797,0.000273,4.99,1436.06,1510,759,1200,7,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44L,1999-009B,25639,1999
Skynet 4F,United Kingdom,,,Ministry of Defence,United Kingdom,Military,Communications,Earth Science,GEO,Molniya,-34.04,35773,35801,0.000332,3.23,1436.15,1510,830,1200,7,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44L,2001-005B,26695,2001
Skynet 5A,United Kingdom,,,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,Earth Science,GEO,Molniya,-1.12,35771,35802,0.000368,0.07,1436.1,4700,2170,6000,15,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,2007-007B,30794,2007
Skynet 5B,United Kingdom,,,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,Earth Science,GEO,Molniya,52.8,35700,35803,0.00122,0.07,1436.1,4635,2170,6000,15,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5,2007-056B,32294,2007
Skynet 5C,United Kingdom,,,Ministry of Defence/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,Earth Science,GEO,Molniya,-17.83,35770,35803,0.000391,0.53,1436.1,4600,2170,6000,15,EADS Astrium,United Kingdom,Guiana Space Center,Ariane 5 ECA,2008-030A,33055,2008
Skynet 5D,United Kingdom,,,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,Earth Science,GEO,Molniya,25,35786,35793,8.30E-05,0.07,1436.24,4638,2170,6000,15,EADS Astrium,United Kingdom,Guiana Space Center,Ariane 5 ECA,2012-075A,39034,2012
USA 139,USA,-95.712891,37.09024,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,Sun-Synchronous,-14.5,35560,36013,0.00537,7.72,1436.14,4500,1800,"6,800",15,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,1998
USA 171,USA,-95.712891,37.09024,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,Sun-Synchronous,95.4,35589,35984,0.00468,3.2,1436.1,4500,1800,"6,800",15,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,2003
USA 202,USA,-95.712891,37.09024,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,Sun-Synchronous,44,35714,35937,0.00264,2.89,1438.8,5000,1800,"6,800",15,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,2009
USA 223,USA,-95.712891,37.09024,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,Sun-Synchronous,100.9,35500,35500,0,0,1438.8,5000,1800,"6,800",15,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,2010
USA 237,USA,-95.712891,37.09024,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,Sun-Synchronous,60,35771,35805,0.000403,0,23.94,5000,1800,"6,800",15,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,2012
USA 268,USA,-95.712891,37.09024,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,GEO,Sun-Synchronous,103,35613,35903,0.00344,7.51,1437.19,5000,1800,"6,800",15,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584,2016
USA 235,USA,-95.712891,37.09024,US Air Force,USA,Military,Communications,Electronic Intelligence,GEO,Sun-Synchronous,-120,35772,35801,0.000344,2.34,1436.1,6169,1800,"6,800",14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,2012
USA 246,USA,-95.712891,37.09024,US Air Force,USA,Military,Communications,Electronic Intelligence,GEO,Sun-Synchronous,139,35700,35803,0.00122,4.2,1436.1,6169,1800,"6,800",14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256,2013
Coriolis,USA,-95.712891,37.09024,US Air Force/ US Navy/NASA,USA,Military,Earth/Space Science,Optical Imaging/Meteorology,LEO,Sun-Synchronous,0,820,841,0.00146,98.8,101.5,817,395,1174,3,"Spectrum Astro, Inc.",USA,Vandenberg AFB,Titan 2,2003-001A,27640,2003
USA 131,USA,-95.712891,37.09024,DoD/NOAA,USA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,842,855,0.0009,98.9,101.9,1134,823,900,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,1997-012A,24753,1997
USA 147,USA,-95.712891,37.09024,DoD/NOAA,USA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,837,851,0.00097,98.9,101.8,1152,823,900,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,1999-067A,25991,1999
USA 172,USA,-95.712891,37.09024,DoD/NOAA,USA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,843,852,0.000623,98.9,101.87,1154,825,900,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,2003-048A,28054,2003
USA 173,USA,-95.712891,37.09024,DoD/NOAA,USA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,842,855,0.0009,98.79,101.89,1154,825,900,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Delta 4,2006-050A,29522,2006
USA 210,USA,-95.712891,37.09024,DoD/NOAA,USA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,842,859,0.00118,98.93,101.94,1155,825,900,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Atlas 5,2009-057A,35951,2009
USA 167,USA,-95.712891,37.09024,US Air Force,USA,Military,Communications,Optical Imaging,GEO,Sun-Synchronous,60.01,35771,35802,0.000368,0.03,1436.12,1156,884,1240,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,2003-008A,27691,2003
USA 170,USA,-95.712891,37.09024,US Air Force,USA,Military,Communications,Optical Imaging,GEO,Sun-Synchronous,-52.51,35760,35814,0.00064,0.05,1436.1,1156,884,1240,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 4,2003-040A,27875,2003
USA 135,USA,-95.712891,37.09024,US Air Force,USA,Military,Communications,Optical Imaging,GEO,Sun-Synchronous,-130.05,35757,35817,0.000712,2.54,1436.1,1156,884,1240,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 4,1997-065A,25019,1997
USA 148,USA,-95.712891,37.09024,US Air Force,USA,Military,Communications,Optical Imaging,GEO,Sun-Synchronous,-135.11,35706,35868,0.00192,0.01,1436.13,1156,884,1240,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,2000-001A,26052,2000
USA 153,USA,-95.712891,37.09024,US Air Force,USA,Military,Communications,Optical Imaging,GEO,Sun-Synchronous,-12.15,35774,35799,0.000297,0.04,1436.12,1156,884,1240,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,2000-065A,26575,2000
USA 113,USA,-95.712891,37.09024,US Air Force,USA,Military,Communications,Optical Imaging,GEO,Sun-Synchronous,-52.4,35784,35784,0,0,1436.1,1156,884,1240,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,1995-038A,23628,1995
USA 130,USA,-95.712891,37.09024,Air Force,USA,Military,Earth Observation,Infrared Imaging,GEO,Sun-Synchronous,0,35780,35800,0.000237,0.1,1436.27,2380,200,1485,5,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan IVB,1997-008A,24737,1997
USA 149,USA,-95.712891,37.09024,Air Force,USA,Military,Earth Observation,Infrared Imaging,GEO,Sun-Synchronous,-36.25,35897,35909,0.000142,4.08,142.08,2380,200,1485,07-Sep,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan IVB,2000-024A,26356,2000
USA 159,USA,-95.712891,37.09024,Air Force,USA,Military,Earth Observation,Infrared Imaging,GEO,Sun-Synchronous,69.48,35765,35810,0.000534,3.68,1436.14,2380,200,1485,07-Sep,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan 4B,2001-033A,26880,2001
USA 176,USA,-95.712891,37.09024,Air Force,USA,Military,Earth Observation,Infrared Imaging,GEO,Sun-Synchronous,103.84,35741,35832,0.00108,1.41,1436.12,2380,200,1485,07-Sep,Northrup Grumman (formerly TRW),USA,Cape Canaveral,Titan 4B,2004-004A,28158,2004
USA 215,USA,-95.712891,37.09024,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,1101,1107,0.000401,122.99,107.35,4303,620,18000,3,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,2010-046A,37162,2010
USA 234,USA,-95.712891,37.09024,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,1068,1107,0.00261,123,107,4303,620,18000,3,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Delta 4,2012-014A,38109,2012
USA 247,USA,-95.712891,37.09024,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,1066,1081,0.00101,123,106.7,4303,620,18000,3,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,2013-072A,39462,2013
USA 267,USA,-95.712891,37.09024,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,1086,1087,6.71E-05,123,106.7,4303,620,18000,3,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Delta 4,2016-010A,41334,2016
USA 46,USA,-95.712891,37.09024,US Navy,USA,Military,Communications,Radar Imaging,GEO,polar,-14.74,35745,35829,0.000996,8.97,1436.13,2310,1884,18000,5,"TRW, Defense and Space Systems Group",USA,Cape Canaveral,Atlas Centaur,1989-077A,20253,1989
USA 184,USA,-95.712891,37.09024,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,Elliptical,Molniya,0,1111,37564,0.709,63,684,4000,1532,2400,5,National Reconnaissance Laboratory,USA,Vandenberg AFB,Delta 4,2006-027A,29249,2006
USA 200,USA,-95.712891,37.09024,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Electronic Intelligence,Elliptical,Molniya,0,1112,37580,0.709,63.56,684,4200,1532,2400,5,National Reconnaissance Laboratory,USA ,Vandenberg AFB,Atlas 5,2008-010A,32706,2008
USA 186,USA,,,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Optical Imaging,LEO,Elliptical,0,264,1050,0.0559,97.9,97,18000,10000,5500,5,Lockheed Martin,USA,Vandenberg AFB,Titan IV,2005-042A,28888,2005
USA 224,USA,,,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Optical Imaging,LEO,Elliptical,0,200,1000,0.0574,97.8,97,18000,10000,5500,5,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,2011-002A,37348,2011
USA 245,USA,,,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Optical Imaging,LEO,Elliptical,0,257,997,0.0529,97.8,97.25,18000,10000,5500,5,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,2013-043A,39232,2013
USA 133,USA,,,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,671,675,0.000284,57,98.2,14500,1150,1400,5,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,1997-064A,25017,1997
USA 152,USA,,,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,574,676,0.00729,68,97.21,14500,1150,1400,9,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,2000-047A,26473,2000
USA 182,USA,,,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,713,716,0.000212,57.01,99.08,14500,1150,1400,9,Lockheed Martin Astronautics,USA,Cape Canaveral,Titan 4B,2005-016A,28646,2005
USA 105,USA,,,National Reconnaissance Office (NRO)/USAF,USA,Military,Earth Observation,Electronic Intelligence,GEO,Non-Polar Inclined,-27.95,35598,35976,0.00448,5.1,1436.13,8000,4000,16000,5,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1994-054A,23223,1994
USA 118,USA,,,National Reconnaissance Office (NRO)/USAF,USA,Military,Earth Observation,Electronic Intelligence,GEO,Non-Polar Inclined,-23.51,33674,37900,0.0501,7.33,1436.12,8000,4000,16000,5,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1996-026A,23855,1996
USA 250,USA,,,National Reconnaissance Office (NRO)/USAF,USA,Military,Earth Observation,Electronic Intelligence,GEO,Non-Polar Inclined,0,35500,35500,0,7,1436,3900,4000,16000,5,Unknown,USA,Cape Canaveral,Atlas 5,2014-020A,39652,2014
USA 99,USA,,,US Air Force,USA,Military,Communications,Earth Science/Meterology,GEO,Sun-Synchronous,-38.9,35754,35819,0.000771,5.99,1436.13,4536,3750,8000,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4A,1994-009A,22988,1994
USA 115,USA,,,US Air Force,USA,Military,Communications,Earth Science/Meterology,GEO,Sun-Synchronous,3.94,35765,35809,0.000522,0.35,1436.13,4536,3750,8000,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4A,1995-060A,23712,1995
USA 157,USA,,,US Air Force,USA,Military,Communications,Earth Science/Meterology,GEO,Sun-Synchronous,-67.9,35764,35768,4.75E-05,4.5,1435.04,4536,3750,8000,12,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,2001-009A,26715,2001
USA 164,USA,,,US Air Force,USA,Military,Communications,Earth Science/Meterology,GEO,Sun-Synchronous,3.92,35753,35820,0.000795,3.45,1436.12,4536,3750,8000,12 hrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,2002-001A,27168,2002
USA 169,USA,,,US Air Force,USA,Military,Communications,Earth Science/Meterology,GEO,Sun-Synchronous,-89.98,35768,35806,0.000451,0.82,1436.13,4536,3750,8000,12,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,2003-012A,27711,2003
